region,Year,0
Afghanistan,2008,1
Afghanistan,2012,1
Algeria,1984,2
Algeria,1992,2
Algeria,1996,3
Algeria,2000,5
Algeria,2008,2
Algeria,2012,1
Algeria,2016,2
Argentina,1924,10
Argentina,1928,26
Argentina,1932,4
Argentina,1936,11
Argentina,1948,11
Argentina,1952,6
Argentina,1956,2
Argentina,1960,4
Argentina,1964,1
Argentina,1968,2
Argentina,1972,1
Argentina,1988,13
Argentina,1992,2
Argentina,1996,20
Argentina,2000,20
Argentina,2004,49
Argentina,2008,51
Argentina,2012,19
Argentina,2016,22
Armenia,1996,2
Armenia,2000,1
Armenia,2008,6
Armenia,2012,3
Armenia,2016,4
Australia,1896,3
Australia,1900,6
Australia,1904,4
Australia,1906,3
Australia,1908,19
Australia,1912,10
Australia,1920,7
Australia,1924,11
Australia,1928,4
Australia,1932,5
Australia,1936,1
Australia,1948,16
Australia,1952,20
Australia,1956,67
Australia,1960,46
Australia,1964,44
Australia,1968,51
Australia,1972,20
Australia,1976,23
Australia,1980,13
Australia,1984,52
Australia,1988,35
Australia,1992,57
Australia,1994,4
Australia,1996,132
Australia,1998,1
Australia,2000,183
Australia,2002,2
Australia,2004,157
Australia,2006,2
Australia,2008,149
Australia,2010,3
Australia,2012,114
Australia,2014,3
Australia,2016,82
Austria,1896,5
Austria,1900,6
Austria,1904,4
Austria,1906,9
Austria,1908,1
Austria,1912,14
Austria,1924,8
Austria,1928,11
Austria,1932,7
Austria,1936,60
Austria,1948,16
Austria,1952,11
Austria,1956,16
Austria,1960,9
Austria,1964,17
Austria,1968,20
Austria,1972,8
Austria,1976,8
Austria,1980,13
Austria,1984,4
Austria,1988,13
Austria,1992,35
Austria,1994,12
Austria,1996,3
Austria,1998,20
Austria,2000,4
Austria,2002,20
Austria,2004,8
Austria,2006,30
Austria,2008,3
Austria,2010,26
Austria,2014,27
Austria,2016,2
Azerbaijan,1996,1
Azerbaijan,2000,3
Azerbaijan,2004,5
Azerbaijan,2008,7
Azerbaijan,2012,10
Azerbaijan,2016,18
Bahamas,1956,2
Bahamas,1964,2
Bahamas,1992,1
Bahamas,1996,5
Bahamas,2000,11
Bahamas,2004,2
Bahamas,2008,7
Bahamas,2012,4
Bahamas,2016,6
Bahrain,2012,1
Bahrain,2016,2
Barbados,2000,1
Belarus,1994,2
Belarus,1996,23
Belarus,1998,2
Belarus,2000,22
Belarus,2002,1
Belarus,2004,15
Belarus,2006,1
Belarus,2008,29
Belarus,2010,3
Belarus,2012,23
Belarus,2014,6
Belarus,2016,12
Belgium,1900,43
Belgium,1906,11
Belgium,1908,33
Belgium,1912,19
Belgium,1920,188
Belgium,1924,44
Belgium,1928,6
Belgium,1932,1
Belgium,1936,14
Belgium,1948,21
Belgium,1952,8
Belgium,1956,2
Belgium,1960,4
Belgium,1964,3
Belgium,1968,3
Belgium,1972,2
Belgium,1976,9
Belgium,1980,1
Belgium,1984,5
Belgium,1988,2
Belgium,1992,3
Belgium,1996,6
Belgium,1998,1
Belgium,2000,7
Belgium,2004,3
Belgium,2008,5
Belgium,2012,3
Belgium,2016,21
Bermuda,1976,1
Botswana,2012,1
Brazil,1920,7
Brazil,1948,10
Brazil,1952,3
Brazil,1956,1
Brazil,1960,13
Brazil,1964,12
Brazil,1968,4
Brazil,1972,2
Brazil,1976,3
Brazil,1980,9
Brazil,1984,36
Brazil,1988,23
Brazil,1992,14
Brazil,1996,63
Brazil,2000,48
Brazil,2004,40
Brazil,2008,78
Brazil,2012,59
Brazil,2016,50
Bulgaria,1952,1
Bulgaria,1956,18
Bulgaria,1960,7
Bulgaria,1964,10
Bulgaria,1968,26
Bulgaria,1972,22
Bulgaria,1976,39
Bulgaria,1980,91
Bulgaria,1988,41
Bulgaria,1992,17
Bulgaria,1996,21
Bulgaria,1998,1
Bulgaria,2000,13
Bulgaria,2002,3
Bulgaria,2004,17
Bulgaria,2006,1
Bulgaria,2008,5
Bulgaria,2012,2
Bulgaria,2016,7
Burundi,1996,1
Burundi,2016,1
Cameroon,1968,1
Cameroon,1984,1
Cameroon,2000,18
Cameroon,2004,1
Cameroon,2008,1
Canada,1900,2
Canada,1904,48
Canada,1906,2
Canada,1908,52
Canada,1912,8
Canada,1920,16
Canada,1924,29
Canada,1928,45
Canada,1932,59
Canada,1936,35
Canada,1948,22
Canada,1952,21
Canada,1956,39
Canada,1960,30
Canada,1964,12
Canada,1968,30
Canada,1972,12
Canada,1976,26
Canada,1980,2
Canada,1984,91
Canada,1988,29
Canada,1992,80
Canada,1994,37
Canada,1996,50
Canada,1998,49
Canada,2000,31
Canada,2002,74
Canada,2004,17
Canada,2006,69
Canada,2008,35
Canada,2010,90
Canada,2012,55
Canada,2014,86
Canada,2016,69
Chile,1928,1
Chile,1952,4
Chile,1956,4
Chile,1988,1
Chile,2000,17
Chile,2004,4
Chile,2008,1
China,1984,74
China,1988,52
China,1992,85
China,1994,3
China,1996,107
China,1998,14
China,2000,79
China,2002,16
China,2004,96
China,2006,13
China,2008,184
China,2010,19
China,2012,126
China,2014,12
China,2016,113
Colombia,1900,1
Colombia,1972,3
Colombia,1984,1
Colombia,1988,1
Colombia,1992,1
Colombia,2000,1
Colombia,2004,2
Colombia,2008,2
Colombia,2012,8
Colombia,2016,8
Costa Rica,1988,1
Costa Rica,1996,1
Costa Rica,2000,2
Croatia,1992,15
Croatia,1996,28
Croatia,2000,10
Croatia,2002,4
Croatia,2004,21
Croatia,2006,3
Croatia,2008,5
Croatia,2010,3
Croatia,2012,35
Croatia,2014,1
Croatia,2016,24
Cuba,1900,2
Cuba,1904,5
Cuba,1948,2
Cuba,1964,1
Cuba,1968,10
Cuba,1972,22
Cuba,1976,24
Cuba,1980,20
Cuba,1992,69
Cuba,1996,55
Cuba,2000,65
Cuba,2004,62
Cuba,2008,47
Cuba,2012,14
Cuba,2016,11
Curacao,1988,1
Cyprus,2012,1
Czech Republic,1900,3
Czech Republic,1906,3
Czech Republic,1908,6
Czech Republic,1920,10
Czech Republic,1924,10
Czech Republic,1928,17
Czech Republic,1932,6
Czech Republic,1936,18
Czech Republic,1948,37
Czech Republic,1952,25
Czech Republic,1956,7
Czech Republic,1960,23
Czech Republic,1964,71
Czech Republic,1968,50
